timestamp,heart_rates
00:00,58
00:02,65
00:04,65
00:06,62
00:08,64
00:10,82
00:12,74
00:14,65
00:16,79
00:18,
04:04,79
04:06,76
04:08,55
04:10,55
04:12,55
04:14,53
04:16,55
04:18,57
04:20,58
04:22,52
04:24,56
04:26,56
04:28,60
04:30,62
04:32,64
04:34,54
04:36,52
04:38,53
04:40,53
04:42,53
04:44,52
04:46,53
04:48,53
04:50,53
04:52,53
04:54,53
04:56,53
04:58,53
05:00,52
05:02,52
05:04,52
05:06,52
05:08,52
05:10,52
05:12,55
05:14,50
05:16,50
05:18,50
05:20,50
05:22,50
05:24,50
05:26,51
05:28,51
05:30,50
05:32,51
05:34,51
05:36,52
05:38,52
05:40,52
05:42,53
05:44,54
05:46,53
05:48,53
05:50,53
05:52,53
05:54,59
05:56,52
05:58,50
06:00,52
06:02,52
06:04,53
06:06,54
06:08,52
06:10,54
06:12,52
06:14,52
06:16,53
06:18,53
06:20,53
06:22,53
06:24,54
06:26,54
06:28,57
06:30,51
06:32,50
06:34,49
06:36,51
06:38,50
06:40,52
06:42,52
06:44,52
06:46,52
06:48,53
06:50,56
06:52,51
06:54,51
06:56,51
06:58,51
07:00,52
07:02,53
07:04,49
07:06,52
07:08,52
07:10,50
07:12,50
07:14,51
07:16,55
07:18,50
07:20,52
07:22,53
07:24,52
07:26,52
07:28,53
07:30,51
07:32,58
07:34,48
07:36,50
07:38,50
07:40,51
07:42,49
07:44,50
07:46,49
07:48,49
07:50,51
07:52,49
07:54,51
07:56,51
07:58,52
08:00,52
08:02,51
08:04,52
08:06,51
08:08,53
08:10,59
08:12,54
08:14,47
08:16,48
08:18,48
08:20,47
08:22,47
08:24,48
08:26,47
08:28,47
08:30,48
08:32,58
08:34,49
08:36,50
08:38,47
08:40,50
08:42,48
08:44,49
08:46,62
08:48,59
08:50,49
08:52,47
08:54,47
08:56,47
08:58,49
09:00,48
09:02,47
09:04,47
09:06,46
09:08,49
09:10,49
09:12,49
09:14,49
09:16,50
09:18,50
09:20,49
09:22,50
09:24,50
09:26,50
09:28,50
09:30,50
09:32,49
09:34,50
09:36,49
09:38,50
09:40,50
09:42,50
09:44,50
09:46,50
09:48,50
09:50,50
09:52,50
09:54,49
09:56,57
09:58,49
10:00,47
10:02,46
10:04,47
10:06,46
10:08,54
10:10,46
10:12,60
10:14,52
10:16,56
10:18,52
10:20,51
10:22,52
10:24,53
10:26,51
10:28,54
10:30,53
10:32,51
10:34,51
10:36,52
10:38,52
10:40,51
10:42,52
10:44,51
10:46,61
10:48,49
10:50,50
10:52,50
10:54,49
10:56,51
10:58,51
11:00,74
11:02,70
11:04,63
11:06,63
11:08,58
11:10,70
11:12,70
11:14,75
11:16,78
11:18,77
11:20,
12:10,72
12:12,59
12:14,53
12:16,49
12:18,54
12:20,52
12:22,56
12:24,60
12:26,55
12:28,57
12:30,61
12:32,66
12:34,67
12:36,73
12:38,66
12:40,62
12:42,68
12:44,68
12:46,71
12:48,76
12:50,71
12:52,63
12:54,68
12:56,67
12:58,74
13:00,77
13:02,73
13:04,76
13:06,71
13:08,71
13:10,73
13:12,75
13:14,80
13:16,82
13:18,74
13:20,72
13:22,67
13:24,66
13:26,70
13:28,76
13:30,72
13:32,77
13:34,76
13:36,75
13:38,73
13:40,66
13:42,63
13:44,64
13:46,64
13:48,61
13:50,60
13:52,60
13:54,59
13:56,64
13:58,65
14:00,61
14:02,62
14:04,58
14:06,55
14:08,57
14:10,59
14:12,60
14:14,59
14:16,71
14:18,78
14:20,76
14:22,69
14:24,77
14:26,58
14:28,56
14:30,58
14:32,54
14:34,55
14:36,55
14:38,63
14:40,71
14:42,84
14:44,80
14:46,77
14:48,68
14:50,74
14:52,78
14:54,79
14:56,54
14:58,55
15:00,52
15:02,62
15:04,77
15:06,81
15:08,67
15:10,59
15:12,56
15:14,61
15:16,58
15:18,58
15:20,61
15:22,58
15:24,59
15:26,62
15:28,58
15:30,61
15:32,69
15:34,74
15:36,66
15:38,66
15:40,63
15:42,60
15:44,59
15:46,57
15:48,57
15:50,59
15:52,62
15:54,67
15:56,57
15:58,57
16:00,60
16:02,61
16:04,64
16:06,56
16:08,62
16:10,55
16:12,59
16:14,70
16:16,75
16:18,81
16:20,74
16:22,83
16:24,72
16:26,68
16:28,70
16:30,72
16:32,70
16:34,65
16:36,68
16:38,65
16:40,70
16:42,67
16:44,54
16:46,63
16:48,79
16:50,80
16:52,73
16:54,68
16:56,62
16:58,68
17:00,71
17:02,69
17:04,66
17:06,65
17:08,76
17:10,65
17:12,61
17:14,70
17:16,79
17:18,59
17:20,63
17:22,62
17:24,64
17:26,63
17:28,72
17:30,69
17:32,66
17:34,56
17:36,58
17:38,59
17:40,59
17:42,60
17:44,65
17:46,63
17:48,67
17:50,63
17:52,61
17:54,60
17:56,62
17:58,65
18:00,69
18:02,64
18:04,60
18:06,70
18:08,64
18:10,64
18:12,64
18:14,59
18:16,68
18:18,62
18:20,57
18:22,60
18:24,59
18:26,65
18:28,60
18:30,68
18:32,67
18:34,71
18:36,70
18:38,63
18:40,68
18:42,66
18:44,67
18:46,67
18:48,78
18:50,72
18:52,53
18:54,56
18:56,55
18:58,61
19:00,69
19:02,54
19:04,55
19:06,57
19:08,55
19:10,54
19:12,53
19:14,52
19:16,54
19:18,60
19:20,59
19:22,53
19:24,52
19:26,53
19:28,51
19:30,51
19:32,52
19:34,52
19:36,53
19:38,54
19:40,54
19:42,53
19:44,58
19:46,54
19:48,55
19:50,54
19:52,56
19:54,54
19:56,52
19:58,53
20:00,56
20:02,56
20:04,56
20:06,58
20:08,56
20:10,55
20:12,53
20:14,54
20:16,56
20:18,53
20:20,52
20:22,59
20:24,83
20:26,85
20:28,76
20:30,78
20:32,55
20:34,58
20:36,57
20:38,58
20:40,56
20:42,62
20:44,70
20:46,65
20:48,62
20:50,52
20:52,54
20:54,59
20:56,62
20:58,58
21:00,53
21:02,55
21:04,57
21:06,55
21:08,60
21:10,55
21:12,56
21:14,56
21:16,54
21:18,56
21:20,53
21:22,53
21:24,54
21:26,55
21:28,56
21:30,65
21:32,59
21:34,62
21:36,56
21:38,53
21:40,57
21:42,60
21:44,57
21:46,70
21:48,50
21:50,49
21:52,54
21:54,52
21:56,54
21:58,55
22:00,52
22:02,52
22:04,54
22:06,52
22:08,51
22:10,47
22:12,47
22:14,46
22:16,47
22:18,47
22:20,48
22:22,45
22:24,46
22:26,46
22:28,45
22:30,45
22:32,45
22:34,45
22:36,44
22:38,45
22:40,45
22:42,45
22:44,44
22:46,44
22:48,48
22:50,49
22:52,47
22:54,61
22:56,71
22:58,62
23:00,44
23:02,44
23:04,46
23:06,46
23:08,45
23:10,43
23:12,44
23:14,44
23:16,44
23:18,47
23:20,43
23:22,43
23:24,44
23:26,44
23:28,43
23:30,43
23:32,44
23:34,44
23:36,46
23:38,45
23:40,44
23:42,44
23:44,45
23:46,45
23:48,46
23:50,45
23:52,44
23:54,44
23:56,45
23:58,45
