timestamp,heart_rates
00:00,77
00:02,83
00:04,81
00:06,78
00:08,83
00:10,83
00:12,86
00:14,89
00:16,79
00:18,71
00:20,75
00:22,71
00:24,58
00:26,48
00:28,48
00:30,55
00:32,53
00:34,51
00:36,51
00:38,52
00:40,53
00:42,56
00:44,68
00:46,68
00:48,52
00:50,50
00:52,51
00:54,52
00:56,51
00:58,54
01:00,53
01:02,53
01:04,54
01:06,54
01:08,52
01:10,52
01:12,52
01:14,53
01:16,52
01:18,53
01:20,53
01:22,54
01:24,57
01:26,52
01:28,53
01:30,53
01:32,53
01:34,51
01:36,52
01:38,52
01:40,53
01:42,52
01:44,52
01:46,53
01:48,52
01:50,51
01:52,50
01:54,51
01:56,50
01:58,50
02:00,51
02:02,53
02:04,54
02:06,54
02:08,53
02:10,52
02:12,50
02:14,50
02:16,52
02:18,54
02:20,51
02:22,51
02:24,51
02:26,52
02:28,50
02:30,51
02:32,52
02:34,54
02:36,48
02:38,48
02:40,47
02:42,48
02:44,48
02:46,48
02:48,49
02:50,49
02:52,49
02:54,49
02:56,48
02:58,48
03:00,48
03:02,48
03:04,48
03:06,50
03:08,52
03:10,53
03:12,49
03:14,48
03:16,48
03:18,48
03:20,49
03:22,48
03:24,48
03:26,49
03:28,47
03:30,49
03:32,49
03:34,49
03:36,49
03:38,56
03:40,43
03:42,44
03:44,46
03:46,46
03:48,46
03:50,45
03:52,47
03:54,45
03:56,46
03:58,46
04:00,45
04:02,46
04:04,48
04:06,46
04:08,45
04:10,46
04:12,46
04:14,48
04:16,47
04:18,47
04:20,47
04:22,46
04:24,46
04:26,46
04:28,46
04:30,47
04:32,46
04:34,47
04:36,47
04:38,47
04:40,46
04:42,59
04:44,52
04:46,49
04:48,50
04:50,44
04:52,45
04:54,45
04:56,45
04:58,45
05:00,47
05:02,48
05:04,46
05:06,44
05:08,44
05:10,42
05:12,47
05:14,55
05:16,48
05:18,46
05:20,44
05:22,45
05:24,47
05:26,44
05:28,45
05:30,47
05:32,46
05:34,44
05:36,47
05:38,49
05:40,45
05:42,45
05:44,44
05:46,46
05:48,45
05:50,45
05:52,46
05:54,45
05:56,45
05:58,46
06:00,46
06:02,46
06:04,46
06:06,46
06:08,52
06:10,42
06:12,42
06:14,43
06:16,43
06:18,44
06:20,44
06:22,45
06:24,44
06:26,45
06:28,44
06:30,45
06:32,46
06:34,47
06:36,42
06:38,49
06:40,45
06:42,43
06:44,44
06:46,42
06:48,43
06:50,46
06:52,44
06:54,46
06:56,44
06:58,51
07:00,49
07:02,45
07:04,46
07:06,46
07:08,47
07:10,48
07:12,49
07:14,46
07:16,48
07:18,49
07:20,51
07:22,48
07:24,48
07:26,49
07:28,53
07:30,48
07:32,45
07:34,44
07:36,45
07:38,46
07:40,46
07:42,52
07:44,46
07:46,47
07:48,47
07:50,47
07:52,48
07:54,47
07:56,55
07:58,58
08:00,49
08:02,50
08:04,48
08:06,45
08:08,53
08:10,78
08:12,77
08:14,68
08:16,75
08:18,75
08:20,65
08:22,58
08:24,69
08:26,58
08:28,61
08:30,59
08:32,67
08:34,65
08:36,60
08:38,70
08:40,72
08:42,75
08:44,78
08:46,81
08:48,70
08:50,63
08:52,63
08:54,73
08:56,76
08:58,66
09:00,71
09:02,74
09:04,75
09:06,68
09:08,66
09:10,73
09:12,77
09:14,68
09:16,67
09:18,70
09:20,76
09:22,67
09:24,58
09:26,62
09:28,61
09:30,59
09:32,61
09:34,62
09:36,62
09:38,61
09:40,61
09:42,58
09:44,60
09:46,59
09:48,58
09:50,60
09:52,56
09:54,55
09:56,58
09:58,58
10:00,63
10:02,59
10:04,57
10:06,57
10:08,57
10:10,63
10:12,62
10:14,59
10:16,67
10:18,68
10:20,72
10:22,79
10:24,74
10:26,70
10:28,58
10:30,61
10:32,47
10:34,51
10:36,58
10:38,57
10:40,60
10:42,60
10:44,57
10:46,54
10:48,53
10:50,60
10:52,55
10:54,55
10:56,55
10:58,55
11:00,51
11:02,55
11:04,61
11:06,55
11:08,56
11:10,55
11:12,62
11:14,64
11:16,60
11:18,59
11:20,57
11:22,61
11:24,58
11:26,58
11:28,59
11:30,53
11:32,64
11:34,58
11:36,55
11:38,62
11:40,55
11:42,51
11:44,53
11:46,57
11:48,53
11:50,56
11:52,57
11:54,53
11:56,53
11:58,56
12:00,55
12:02,55
12:04,53
12:06,55
12:08,55
12:10,56
12:12,55
12:14,55
12:16,54
12:18,56
12:20,58
12:22,58
12:24,57
12:26,68
12:28,77
12:30,81
12:32,76
12:34,79
12:36,64
12:38,65
12:40,65
12:42,72
12:44,79
12:46,83
12:48,81
12:50,88
12:52,90
12:54,86
12:56,91
12:58,78
13:00,70
13:02,69
13:04,71
13:06,70
13:08,68
13:10,70
13:12,64
13:14,71
13:16,71
13:18,73
13:20,84
13:22,83
13:24,79
13:26,82
13:28,84
13:30,68
13:32,63
13:34,61
13:36,62
13:38,75
13:40,85
13:42,64
13:44,72
13:46,61
13:48,64
13:50,79
13:52,86
13:54,86
13:56,91
13:58,88
14:00,90
14:02,87
14:04,86
14:06,88
14:08,89
14:10,71
14:12,63
14:14,63
14:16,63
14:18,63
14:20,63
14:22,64
14:24,62
14:26,66
14:28,60
14:30,61
14:32,64
14:34,64
14:36,64
14:38,60
14:40,61
14:42,64
14:44,61
14:46,64
14:48,64
14:50,66
