start_time,end_time,sleep_type,date,time_slot,duration
07:57:00,08:08:00,0.0,2024-12-25,06:00-09:00,11.0
22:13:00,22:23:00,1.0,2024-12-26,21:00-00:00,10.0
22:23:00,22:35:00,0.0,2024-12-26,21:00-00:00,12.0
22:35:00,22:47:00,1.0,2024-12-26,21:00-00:00,12.0
22:47:00,22:59:00,3.0,2024-12-26,21:00-00:00,12.0
22:59:00,23:09:00,1.0,2024-12-26,21:00-00:00,10.0
23:09:00,23:47:00,0.0,2024-12-26,21:00-00:00,38.0
23:47:00,00:08:00,1.0,2024-12-26,,
00:08:00,00:41:00,0.0,2024-12-26,00:00-03:00,33.0
00:41:00,00:46:00,1.0,2024-12-26,00:00-03:00,5.0
00:46:00,01:01:00,2.0,2024-12-26,00:00-03:00,15.0
01:01:00,01:23:00,1.0,2024-12-26,00:00-03:00,22.0
01:23:00,01:35:00,0.0,2024-12-26,00:00-03:00,12.0
01:35:00,02:04:00,1.0,2024-12-26,00:00-03:00,29.0
02:04:00,02:31:00,2.0,2024-12-26,00:00-03:00,27.0
02:31:00,03:39:00,1.0,2024-12-26,00:00-03:00,29.0
02:31:00,03:39:00,1.0,2024-12-26,03:00-06:00,39.0
03:39:00,04:03:00,0.0,2024-12-26,03:00-06:00,24.0
04:03:00,04:36:00,1.0,2024-12-26,03:00-06:00,33.0
04:36:00,04:56:00,2.0,2024-12-26,03:00-06:00,20.0
04:56:00,04:57:00,3.0,2024-12-26,03:00-06:00,1.0
04:57:00,05:50:00,1.0,2024-12-26,03:00-06:00,53.0
05:50:00,06:19:00,2.0,2024-12-26,03:00-06:00,10.0
05:50:00,06:19:00,2.0,2024-12-26,06:00-09:00,19.0
06:19:00,06:29:00,1.0,2024-12-26,06:00-09:00,10.0
06:29:00,07:26:00,2.0,2024-12-26,06:00-09:00,57.0
07:26:00,07:33:00,1.0,2024-12-26,06:00-09:00,7.0
07:33:00,07:34:00,0.0,2024-12-26,06:00-09:00,1.0
07:34:00,07:41:00,1.0,2024-12-26,06:00-09:00,7.0
07:41:00,07:42:00,0.0,2024-12-26,06:00-09:00,1.0
07:42:00,07:44:00,1.0,2024-12-26,06:00-09:00,2.0
07:44:00,07:46:00,0.0,2024-12-26,06:00-09:00,2.0
07:46:00,07:51:00,1.0,2024-12-26,06:00-09:00,5.0
07:51:00,07:52:00,0.0,2024-12-26,06:00-09:00,1.0
07:52:00,07:53:00,1.0,2024-12-26,06:00-09:00,1.0
07:53:00,07:57:00,0.0,2024-12-26,06:00-09:00,4.0
07:57:00,08:02:00,1.0,2024-12-26,06:00-09:00,5.0
08:02:00,08:03:00,0.0,2024-12-26,06:00-09:00,1.0
08:03:00,08:04:00,1.0,2024-12-26,06:00-09:00,1.0
08:04:00,08:08:00,0.0,2024-12-26,06:00-09:00,4.0
08:08:00,08:12:00,1.0,2024-12-26,06:00-09:00,4.0
08:12:00,08:14:00,0.0,2024-12-26,06:00-09:00,2.0
08:14:00,08:17:00,1.0,2024-12-26,06:00-09:00,3.0
08:17:00,08:18:00,0.0,2024-12-26,06:00-09:00,1.0
08:18:00,08:21:00,1.0,2024-12-26,06:00-09:00,3.0
