start_time,end_time,sleep_type
2024-12-25T03:38:00.0,2024-12-25T03:43:00.0,1.0
2024-12-25T03:43:00.0,2024-12-25T04:53:00.0,0.0
2024-12-25T04:53:00.0,2024-12-25T05:03:00.0,1.0
2024-12-25T05:03:00.0,2024-12-25T05:28:00.0,2.0
2024-12-25T05:28:00.0,2024-12-25T05:29:00.0,3.0
2024-12-25T05:29:00.0,2024-12-25T05:41:00.0,1.0
2024-12-25T05:41:00.0,2024-12-25T05:48:00.0,0.0
2024-12-25T05:48:00.0,2024-12-25T05:51:00.0,3.0
2024-12-25T05:51:00.0,2024-12-25T06:57:00.0,1.0
2024-12-25T06:57:00.0,2024-12-25T07:08:00.0,0.0
