start_time,end_time,sleep_type
2024-12-25T21:13:00.0,2024-12-25T21:23:00.0,1.0
2024-12-25T21:23:00.0,2024-12-25T21:35:00.0,0.0
2024-12-25T21:35:00.0,2024-12-25T21:47:00.0,1.0
2024-12-25T21:47:00.0,2024-12-25T21:59:00.0,3.0
2024-12-25T21:59:00.0,2024-12-25T22:09:00.0,1.0
2024-12-25T22:09:00.0,2024-12-25T22:47:00.0,0.0
2024-12-25T22:47:00.0,2024-12-25T23:08:00.0,1.0
2024-12-25T23:08:00.0,2024-12-25T23:41:00.0,0.0
2024-12-25T23:41:00.0,2024-12-25T23:46:00.0,1.0
2024-12-25T23:46:00.0,2024-12-26T00:01:00.0,2.0
2024-12-26T00:01:00.0,2024-12-26T00:23:00.0,1.0
2024-12-26T00:23:00.0,2024-12-26T00:35:00.0,0.0
2024-12-26T00:35:00.0,2024-12-26T01:04:00.0,1.0
2024-12-26T01:04:00.0,2024-12-26T01:31:00.0,2.0
2024-12-26T01:31:00.0,2024-12-26T02:39:00.0,1.0
2024-12-26T02:39:00.0,2024-12-26T03:03:00.0,0.0
2024-12-26T03:03:00.0,2024-12-26T03:36:00.0,1.0
2024-12-26T03:36:00.0,2024-12-26T03:56:00.0,2.0
2024-12-26T03:56:00.0,2024-12-26T03:57:00.0,3.0
2024-12-26T03:57:00.0,2024-12-26T04:50:00.0,1.0
2024-12-26T04:50:00.0,2024-12-26T05:19:00.0,2.0
2024-12-26T05:19:00.0,2024-12-26T05:29:00.0,1.0
2024-12-26T05:29:00.0,2024-12-26T06:26:00.0,2.0
2024-12-26T06:26:00.0,2024-12-26T06:33:00.0,1.0
2024-12-26T06:33:00.0,2024-12-26T06:34:00.0,0.0
2024-12-26T06:34:00.0,2024-12-26T06:41:00.0,1.0
2024-12-26T06:41:00.0,2024-12-26T06:42:00.0,0.0
2024-12-26T06:42:00.0,2024-12-26T06:44:00.0,1.0
2024-12-26T06:44:00.0,2024-12-26T06:46:00.0,0.0
2024-12-26T06:46:00.0,2024-12-26T06:51:00.0,1.0
2024-12-26T06:51:00.0,2024-12-26T06:52:00.0,0.0
2024-12-26T06:52:00.0,2024-12-26T06:53:00.0,1.0
2024-12-26T06:53:00.0,2024-12-26T06:57:00.0,0.0
2024-12-26T06:57:00.0,2024-12-26T07:02:00.0,1.0
2024-12-26T07:02:00.0,2024-12-26T07:03:00.0,0.0
2024-12-26T07:03:00.0,2024-12-26T07:04:00.0,1.0
2024-12-26T07:04:00.0,2024-12-26T07:08:00.0,0.0
2024-12-26T07:08:00.0,2024-12-26T07:12:00.0,1.0
2024-12-26T07:12:00.0,2024-12-26T07:14:00.0,0.0
2024-12-26T07:14:00.0,2024-12-26T07:17:00.0,1.0
2024-12-26T07:17:00.0,2024-12-26T07:18:00.0,0.0
2024-12-26T07:18:00.0,2024-12-26T07:21:00.0,1.0
2024-12-26T07:21:00.0,2024-12-26T07:22:00.0,0.0
2024-12-26T07:22:00.0,2024-12-26T07:23:00.0,1.0
2024-12-26T07:23:00.0,2024-12-26T07:25:00.0,0.0
2024-12-26T07:25:00.0,2024-12-26T07:30:00.0,1.0
2024-12-26T07:30:00.0,2024-12-26T07:34:00.0,0.0
2024-12-26T07:34:00.0,2024-12-26T07:35:00.0,1.0
2024-12-26T07:35:00.0,2024-12-26T07:40:00.0,0.0
2024-12-26T07:40:00.0,2024-12-26T07:44:00.0,1.0
2024-12-26T07:44:00.0,2024-12-26T07:50:00.0,0.0
2024-12-26T07:50:00.0,2024-12-26T07:51:00.0,1.0
2024-12-26T07:51:00.0,2024-12-26T07:59:00.0,0.0
2024-12-26T07:59:00.0,2024-12-26T08:16:00.0,1.0
