start_time,end_time,sleep_type
2024-12-22T01:00:00.0,2024-12-22T01:12:00.0,1.0
2024-12-22T01:12:00.0,2024-12-22T01:57:00.0,0.0
2024-12-22T01:57:00.0,2024-12-22T01:59:00.0,3.0
2024-12-22T01:59:00.0,2024-12-22T02:46:00.0,1.0
2024-12-22T02:46:00.0,2024-12-22T02:55:00.0,0.0
2024-12-22T02:55:00.0,2024-12-22T03:11:00.0,1.0
2024-12-22T03:11:00.0,2024-12-22T03:24:00.0,0.0
2024-12-22T03:24:00.0,2024-12-22T04:07:00.0,1.0
2024-12-22T04:07:00.0,2024-12-22T04:17:00.0,0.0
2024-12-22T04:17:00.0,2024-12-22T04:31:00.0,1.0
2024-12-22T04:31:00.0,2024-12-22T04:38:00.0,0.0
2024-12-22T04:38:00.0,2024-12-22T05:02:00.0,1.0
2024-12-22T05:02:00.0,2024-12-22T05:17:00.0,2.0
2024-12-22T05:17:00.0,2024-12-22T05:22:00.0,1.0
2024-12-22T05:22:00.0,2024-12-22T06:21:00.0,2.0
2024-12-22T06:21:00.0,2024-12-22T06:50:00.0,1.0
