start_time,end_time,sleep_type
2024-12-28T00:18:00.0,2024-12-28T00:19:00.0,1.0
2024-12-28T00:19:00.0,2024-12-28T00:55:00.0,0.0
2024-12-28T00:55:00.0,2024-12-28T00:57:00.0,3.0
2024-12-28T00:57:00.0,2024-12-28T02:19:00.0,1.0
2024-12-28T02:19:00.0,2024-12-28T02:51:00.0,0.0
2024-12-28T02:51:00.0,2024-12-28T02:52:00.0,3.0
2024-12-28T02:52:00.0,2024-12-28T03:34:00.0,1.0
2024-12-28T03:34:00.0,2024-12-28T03:35:00.0,3.0
2024-12-28T03:35:00.0,2024-12-28T04:24:00.0,1.0
2024-12-28T04:24:00.0,2024-12-28T04:43:00.0,2.0
2024-12-28T04:43:00.0,2024-12-28T04:44:00.0,3.0
2024-12-28T04:44:00.0,2024-12-28T05:28:00.0,1.0
2024-12-28T05:28:00.0,2024-12-28T05:34:00.0,3.0
2024-12-28T05:34:00.0,2024-12-28T06:02:00.0,1.0
2024-12-28T06:02:00.0,2024-12-28T06:22:00.0,2.0
2024-12-28T06:22:00.0,2024-12-28T07:27:00.0,1.0
2024-12-28T07:27:00.0,2024-12-28T07:51:48.0,2.0
