start_time,end_time,sleep_type
2024-12-29T23:11:00.0,2024-12-29T23:23:00.0,1.0
2024-12-29T23:23:00.0,2024-12-30T00:13:00.0,0.0
2024-12-30T00:13:00.0,2024-12-30T00:14:00.0,3.0
2024-12-30T00:14:00.0,2024-12-30T01:06:00.0,1.0
2024-12-30T01:06:00.0,2024-12-30T01:19:00.0,0.0
2024-12-30T01:19:00.0,2024-12-30T01:24:00.0,1.0
2024-12-30T01:24:00.0,2024-12-30T01:28:00.0,3.0
2024-12-30T01:28:00.0,2024-12-30T01:56:00.0,1.0
2024-12-30T01:56:00.0,2024-12-30T02:03:00.0,0.0
2024-12-30T02:03:00.0,2024-12-30T02:21:00.0,1.0
2024-12-30T02:21:00.0,2024-12-30T02:23:00.0,3.0
2024-12-30T02:23:00.0,2024-12-30T02:35:00.0,1.0
2024-12-30T02:35:00.0,2024-12-30T02:41:00.0,0.0
2024-12-30T02:41:00.0,2024-12-30T02:49:00.0,1.0
2024-12-30T02:49:00.0,2024-12-30T03:02:00.0,0.0
2024-12-30T03:02:00.0,2024-12-30T03:16:00.0,1.0
2024-12-30T03:16:00.0,2024-12-30T03:27:00.0,2.0
2024-12-30T03:27:00.0,2024-12-30T03:28:00.0,3.0
2024-12-30T03:28:00.0,2024-12-30T03:35:00.0,1.0
2024-12-30T03:35:00.0,2024-12-30T03:52:00.0,2.0
2024-12-30T03:52:00.0,2024-12-30T04:44:00.0,1.0
2024-12-30T04:44:00.0,2024-12-30T05:02:00.0,2.0
2024-12-30T05:02:00.0,2024-12-30T05:25:00.0,1.0
2024-12-30T05:25:00.0,2024-12-30T05:37:00.0,2.0
2024-12-30T05:37:00.0,2024-12-30T06:07:00.0,1.0
