start_time,end_time,sleep_type
2024-12-29T01:33:00.0,2024-12-29T01:43:00.0,1.0
2024-12-29T01:43:00.0,2024-12-29T02:01:00.0,0.0
2024-12-29T02:01:00.0,2024-12-29T02:05:00.0,3.0
2024-12-29T02:05:00.0,2024-12-29T02:38:00.0,1.0
2024-12-29T02:38:00.0,2024-12-29T02:45:00.0,0.0
2024-12-29T02:45:00.0,2024-12-29T02:47:00.0,3.0
2024-12-29T02:47:00.0,2024-12-29T02:57:00.0,1.0
2024-12-29T02:57:00.0,2024-12-29T03:21:00.0,0.0
2024-12-29T03:21:00.0,2024-12-29T03:23:00.0,3.0
2024-12-29T03:23:00.0,2024-12-29T04:11:00.0,1.0
2024-12-29T04:11:00.0,2024-12-29T04:42:00.0,0.0
2024-12-29T04:42:00.0,2024-12-29T04:43:00.0,3.0
2024-12-29T04:43:00.0,2024-12-29T07:49:00.0,1.0
2024-12-29T07:49:00.0,2024-12-29T08:04:00.0,2.0
2024-12-29T08:04:00.0,2024-12-29T08:09:00.0,3.0
2024-12-29T08:09:00.0,2024-12-29T08:21:00.0,1.0
