start_time,end_time,sleep_type
2025-01-01T20:44:00.0,2025-01-01T20:55:00.0,1.0
2025-01-01T20:55:00.0,2025-01-01T20:57:00.0,3.0
2025-01-01T20:57:00.0,2025-01-01T21:23:00.0,1.0
2025-01-01T21:23:00.0,2025-01-01T21:31:00.0,0.0
2025-01-01T21:31:00.0,2025-01-01T21:35:00.0,3.0
2025-01-01T21:35:00.0,2025-01-01T21:42:00.0,1.0
2025-01-01T21:42:00.0,2025-01-01T21:56:00.0,0.0
2025-01-01T21:56:00.0,2025-01-01T21:57:00.0,3.0
2025-01-01T21:57:00.0,2025-01-01T22:57:00.0,1.0
2025-01-01T22:57:00.0,2025-01-01T22:59:00.0,3.0
2025-01-01T22:59:00.0,2025-01-01T23:19:00.0,1.0
2025-01-01T23:19:00.0,2025-01-01T23:55:00.0,0.0
2025-01-01T23:55:00.0,2025-01-02T01:02:00.0,1.0
2025-01-02T01:02:00.0,2025-01-02T01:12:00.0,0.0
2025-01-02T01:12:00.0,2025-01-02T01:13:00.0,3.0
2025-01-02T01:13:00.0,2025-01-02T02:28:00.0,1.0
2025-01-02T02:28:00.0,2025-01-02T02:43:00.0,2.0
2025-01-02T02:43:00.0,2025-01-02T03:05:00.0,1.0
2025-01-02T03:05:00.0,2025-01-02T03:21:00.0,2.0
2025-01-02T03:21:00.0,2025-01-02T03:46:00.0,1.0
2025-01-02T03:46:00.0,2025-01-02T03:55:00.0,0.0
2025-01-02T03:55:00.0,2025-01-02T04:06:00.0,1.0
2025-01-02T04:06:00.0,2025-01-02T04:09:00.0,3.0
2025-01-02T04:09:00.0,2025-01-02T04:19:00.0,1.0
2025-01-02T04:19:00.0,2025-01-02T04:44:00.0,2.0
2025-01-02T04:44:00.0,2025-01-02T05:17:00.0,1.0
2025-01-02T05:17:00.0,2025-01-02T05:26:00.0,2.0
2025-01-02T05:26:00.0,2025-01-02T05:32:00.0,1.0
2025-01-02T05:32:00.0,2025-01-02T05:33:00.0,3.0
2025-01-02T05:33:00.0,2025-01-02T06:18:47.0,1.0
