start_time,end_time,sleep_type
2024-12-22T23:56:00.0,2024-12-23T00:08:00.0,1.0
2024-12-23T00:08:00.0,2024-12-23T00:41:00.0,0.0
2024-12-23T00:41:00.0,2024-12-23T01:03:00.0,1.0
2024-12-23T01:03:00.0,2024-12-23T01:08:00.0,2.0
2024-12-23T01:08:00.0,2024-12-23T01:18:00.0,1.0
2024-12-23T01:18:00.0,2024-12-23T01:26:00.0,2.0
2024-12-23T01:26:00.0,2024-12-23T01:36:00.0,1.0
2024-12-23T01:36:00.0,2024-12-23T01:58:00.0,0.0
2024-12-23T01:58:00.0,2024-12-23T01:59:00.0,3.0
2024-12-23T01:59:00.0,2024-12-23T02:23:00.0,1.0
2024-12-23T02:23:00.0,2024-12-23T02:29:00.0,2.0
2024-12-23T02:29:00.0,2024-12-23T02:56:00.0,1.0
2024-12-23T02:56:00.0,2024-12-23T03:02:00.0,0.0
2024-12-23T03:02:00.0,2024-12-23T03:38:00.0,1.0
2024-12-23T03:38:00.0,2024-12-23T03:50:00.0,2.0
2024-12-23T03:50:00.0,2024-12-23T04:01:00.0,1.0
2024-12-23T04:01:00.0,2024-12-23T04:09:00.0,2.0
2024-12-23T04:09:00.0,2024-12-23T04:20:00.0,1.0
2024-12-23T04:20:00.0,2024-12-23T04:39:00.0,2.0
2024-12-23T04:39:00.0,2024-12-23T05:33:00.0,1.0
2024-12-23T05:33:00.0,2024-12-23T05:44:00.0,2.0
2024-12-23T05:44:00.0,2024-12-23T06:04:00.0,1.0
2024-12-23T06:04:00.0,2024-12-23T06:05:00.0,3.0
2024-12-23T06:05:00.0,2024-12-23T06:20:00.0,1.0
2024-12-23T06:20:00.0,2024-12-23T06:30:00.0,2.0
2024-12-23T06:30:00.0,2024-12-23T06:47:00.0,1.0
2024-12-23T06:47:00.0,2024-12-23T06:48:00.0,3.0
2024-12-23T06:48:00.0,2024-12-23T07:00:00.0,1.0
