start_time,end_time,sleep_type
2025-01-02T22:00:00.0,2025-01-02T22:07:00.0,1.0
2025-01-02T22:07:00.0,2025-01-02T22:46:00.0,0.0
2025-01-02T22:46:00.0,2025-01-02T22:53:00.0,1.0
2025-01-02T22:53:00.0,2025-01-02T22:54:00.0,3.0
2025-01-02T22:54:00.0,2025-01-02T23:29:00.0,1.0
2025-01-02T23:29:00.0,2025-01-02T23:30:00.0,3.0
2025-01-02T23:30:00.0,2025-01-02T23:44:00.0,1.0
2025-01-02T23:44:00.0,2025-01-02T23:54:00.0,3.0
2025-01-02T23:54:00.0,2025-01-03T00:04:00.0,1.0
2025-01-03T00:04:00.0,2025-01-03T00:22:00.0,0.0
2025-01-03T00:22:00.0,2025-01-03T00:44:00.0,1.0
2025-01-03T00:44:00.0,2025-01-03T00:49:00.0,0.0
2025-01-03T00:49:00.0,2025-01-03T01:08:00.0,1.0
2025-01-03T01:08:00.0,2025-01-03T01:10:00.0,3.0
2025-01-03T01:10:00.0,2025-01-03T01:13:00.0,1.0
2025-01-03T01:13:00.0,2025-01-03T01:15:00.0,3.0
2025-01-03T01:15:00.0,2025-01-03T01:16:00.0,1.0
2025-01-03T01:16:00.0,2025-01-03T01:23:00.0,2.0
2025-01-03T01:23:00.0,2025-01-03T02:03:00.0,1.0
2025-01-03T02:03:00.0,2025-01-03T02:23:00.0,0.0
2025-01-03T02:23:00.0,2025-01-03T02:43:00.0,1.0
2025-01-03T02:43:00.0,2025-01-03T02:44:00.0,3.0
2025-01-03T02:44:00.0,2025-01-03T03:01:00.0,1.0
2025-01-03T03:01:00.0,2025-01-03T03:22:00.0,2.0
2025-01-03T03:22:00.0,2025-01-03T03:30:00.0,3.0
2025-01-03T03:30:00.0,2025-01-03T03:43:00.0,1.0
2025-01-03T03:43:00.0,2025-01-03T03:58:00.0,2.0
2025-01-03T03:58:00.0,2025-01-03T04:09:00.0,1.0
2025-01-03T04:09:00.0,2025-01-03T04:17:00.0,2.0
2025-01-03T04:17:00.0,2025-01-03T04:50:00.0,1.0
2025-01-03T04:50:00.0,2025-01-03T04:52:00.0,3.0
2025-01-03T04:52:00.0,2025-01-03T04:58:00.0,1.0
2025-01-03T04:58:00.0,2025-01-03T05:21:00.0,2.0
2025-01-03T05:21:00.0,2025-01-03T05:22:00.0,3.0
2025-01-03T05:22:00.0,2025-01-03T05:28:00.0,1.0
2025-01-03T05:28:00.0,2025-01-03T05:36:53.0,2.0
