start_time,end_time,sleep_type
2024-12-31T00:29:00.0,2024-12-31T00:38:00.0,1.0
2024-12-31T00:38:00.0,2024-12-31T01:10:00.0,0.0
2024-12-31T01:10:00.0,2024-12-31T02:06:00.0,1.0
2024-12-31T02:06:00.0,2024-12-31T02:19:00.0,0.0
2024-12-31T02:19:00.0,2024-12-31T02:20:00.0,3.0
2024-12-31T02:20:00.0,2024-12-31T02:26:00.0,1.0
2024-12-31T02:26:00.0,2024-12-31T02:51:00.0,0.0
2024-12-31T02:51:00.0,2024-12-31T03:48:00.0,1.0
2024-12-31T03:48:00.0,2024-12-31T04:01:00.0,0.0
2024-12-31T04:01:00.0,2024-12-31T04:02:00.0,3.0
2024-12-31T04:02:00.0,2024-12-31T04:41:00.0,1.0
2024-12-31T04:41:00.0,2024-12-31T04:43:00.0,3.0
2024-12-31T04:43:00.0,2024-12-31T04:50:00.0,1.0
2024-12-31T04:50:00.0,2024-12-31T05:03:00.0,2.0
2024-12-31T05:03:00.0,2024-12-31T05:04:00.0,3.0
2024-12-31T05:04:00.0,2024-12-31T05:46:00.0,1.0
2024-12-31T05:46:00.0,2024-12-31T06:13:00.0,0.0
2024-12-31T06:13:00.0,2024-12-31T06:22:00.0,1.0
2024-12-31T06:22:00.0,2024-12-31T06:57:00.0,2.0
2024-12-31T06:57:00.0,2024-12-31T07:07:00.0,1.0
