timestamp,heart_rates
00:00:00,52
00:02:00,52
00:04:00,51
00:06:00,50
00:08:00,50
00:10:00,51
00:12:00,52
00:14:00,53
00:16:00,51
00:18:00,53
00:20:00,54
00:22:00,53
00:24:00,52
00:26:00,53
00:28:00,52
00:30:00,52
00:32:00,51
00:34:00,51
00:36:00,51
00:38:00,51
00:40:00,52
00:42:00,54
00:44:00,54
00:46:00,50
00:48:00,51
00:50:00,52
00:52:00,52
00:54:00,52
00:56:00,50
00:58:00,50
01:00:00,48
01:02:00,50
01:04:00,54
01:06:00,48
01:08:00,49
01:10:00,48
01:12:00,49
01:14:00,50
01:16:00,50
01:18:00,50
01:20:00,51
01:22:00,59
01:24:00,49
01:26:00,50
01:28:00,50
01:30:00,50
01:32:00,50
01:34:00,51
01:36:00,51
01:38:00,50
01:40:00,52
01:42:00,51
01:44:00,53
01:46:00,52
01:48:00,50
01:50:00,49
01:52:00,50
01:54:00,50
01:56:00,49
01:58:00,51
02:00:00,50
02:02:00,50
02:04:00,50
02:06:00,51
02:08:00,50
02:10:00,50
02:12:00,52
02:14:00,50
02:16:00,47
02:18:00,46
02:20:00,46
02:22:00,46
02:24:00,46
02:26:00,52
02:28:00,51
02:30:00,49
02:32:00,47
02:34:00,47
02:36:00,46
02:38:00,46
02:40:00,47
02:42:00,48
02:44:00,48
02:46:00,48
02:48:00,48
02:50:00,50
02:52:00,50
02:54:00,52
02:56:00,45
02:58:00,44
03:00:00,45
03:02:00,45
03:04:00,45
03:06:00,46
03:08:00,45
03:10:00,45
03:12:00,46
03:14:00,45
03:16:00,46
03:18:00,48
03:20:00,46
03:22:00,45
03:24:00,46
03:26:00,48
03:28:00,49
03:30:00,49
03:32:00,48
03:34:00,49
03:36:00,54
03:38:00,55
03:40:00,55
03:42:00,55
03:44:00,55
03:46:00,49
03:48:00,47
03:50:00,47
03:52:00,47
03:54:00,47
03:56:00,48
03:58:00,48
04:00:00,46
04:02:00,46
04:04:00,48
04:06:00,49
04:08:00,51
04:10:00,54
04:12:00,54
04:14:00,54
04:16:00,48
04:18:00,49
04:20:00,55
04:22:00,45
04:24:00,45
04:26:00,46
04:28:00,53
04:30:00,44
04:32:00,46
04:34:00,46
04:36:00,46
04:38:00,46
04:40:00,46
04:42:00,46
04:44:00,46
04:46:00,47
04:48:00,47
04:50:00,46
04:52:00,47
04:54:00,47
04:56:00,47
